picture,trial_type,signal_word,signal_condition
apple,go,,
apple,go_signal,APPLE,
apple,stop_signal,APRICOT,phon_sem
apple,stop_signal,APATHY,phon_only
apple,stop_signal,PEACH,sem_only
apple,stop_signal,COUCH,unrelated
apple,stop_signal,TSUNAMI,valent
apple,stop_signal,SUMMARY,neutral
basket,go,,
basket,go_signal,BASKET,
basket,stop_signal,BAG,phon_sem
basket,stop_signal,BAN,phon_only
basket,stop_signal,CRIB,sem_only
basket,stop_signal,THIRST,unrelated
basket,stop_signal,MURDER,valent
basket,stop_signal,AGREED,neutral
bee,go,,
bee,go_signal,BEE,
bee,stop_signal,BEETLE,phon_sem
bee,stop_signal,BEACON,phon_only
bee,stop_signal,SPIDER,sem_only
bee,stop_signal,FLAG,unrelated
bee,stop_signal,POLIO,valent
bee,stop_signal,CURIO,neutral
bread,go,,
bread,go_signal,BREAD,
bread,stop_signal,BRAN,phon_sem
bread,stop_signal,BRICK,phon_only
bread,stop_signal,DONUT,sem_only
bread,stop_signal,NAIL,unrelated
bread,stop_signal,CANCER,valent
bread,stop_signal,MILLER,neutral
camel,go,,
camel,go_signal,CAMEL,
camel,stop_signal,CALF,phon_sem
camel,stop_signal,CASH,phon_only
camel,stop_signal,PIG,sem_only
camel,stop_signal,BUCKET,unrelated
camel,stop_signal,SEX,valent
camel,stop_signal,ADD,neutral
carrot,go,,
carrot,go_signal,CARROT,
carrot,stop_signal,CABBAGE,phon_sem
carrot,stop_signal,CAST,phon_only
carrot,stop_signal,SPINACH,sem_only
carrot,stop_signal,EVENING,unrelated
carrot,stop_signal,DEATH,valent
carrot,stop_signal,FIELD,neutral
duck,go,,
duck,go_signal,DUCK,
duck,stop_signal,DOVE,phon_sem
duck,stop_signal,DUB,phon_only
duck,stop_signal,RAVEN,sem_only
duck,stop_signal,BRASS,unrelated
duck,stop_signal,TORNADO,valent
duck,stop_signal,PIVOTAL,neutral
elephant,go,,
elephant,go_signal,ELEPHANT,
elephant,stop_signal,ELK,phon_sem
elephant,stop_signal,ELM,phon_only
elephant,stop_signal,MOOSE,sem_only
elephant,stop_signal,STRIPE,unrelated
elephant,stop_signal,BOMB,valent
elephant,stop_signal,MOOD,neutral
fly,go,,
fly,go_signal,FLY,
fly,stop_signal,FLEA,phon_sem
fly,stop_signal,FLU,phon_only
fly,stop_signal,MOTH,sem_only
fly,stop_signal,RAKE,unrelated
fly,stop_signal,SCREAM,valent
fly,stop_signal,THREAD,neutral
lamp,go,,
lamp,go_signal,LAMP,
lamp,stop_signal,LANTERN,phon_sem
lamp,stop_signal,LANDING,phon_only
lamp,stop_signal,CANDLE,sem_only
lamp,stop_signal,PACKAGE,unrelated
lamp,stop_signal,DECEIT,valent
lamp,stop_signal,TOKENS,neutral
peanut,go,,
peanut,go_signal,PEANUT,
peanut,stop_signal,PECAN,phon_sem
peanut,stop_signal,PIANO,phon_only
peanut,stop_signal,ALMOND,sem_only
peanut,stop_signal,DRESS,unrelated
peanut,stop_signal,HORROR,valent
peanut,stop_signal,MARBLE,neutral
rabbit,go,,
rabbit,go_signal,RABBIT,
rabbit,stop_signal,RAT,phon_sem
rabbit,stop_signal,RAFT,phon_only
rabbit,stop_signal,BEAVER,sem_only
rabbit,stop_signal,COFFEE,unrelated
rabbit,stop_signal,KNIFE,valent
rabbit,stop_signal,LOOKS,neutral
snake,go,,
snake,go_signal,SNAKE,
snake,stop_signal,SNAIL,phon_sem
snake,stop_signal,SNACK,phon_only
snake,stop_signal,EEL,sem_only
snake,stop_signal,FIRE,unrelated
snake,stop_signal,FAMINE,valent
snake,stop_signal,DIGEST,neutral
spoon,go,,
spoon,go_signal,SPOON,
spoon,stop_signal,SPATULA,phon_sem
spoon,stop_signal,SPARKLE,phon_only
spoon,stop_signal,LADLE,sem_only
spoon,stop_signal,CABLE,unrelated
spoon,stop_signal,DANGER,valent
spoon,stop_signal,WONDER,neutral
squirrel,go,,
squirrel,go_signal,SQUIRREL,
squirrel,stop_signal,SKUNK,phon_sem
squirrel,stop_signal,SKATE,phon_only
squirrel,stop_signal,MOLE,sem_only
squirrel,stop_signal,CHAIN,unrelated
squirrel,stop_signal,DOOM,valent
squirrel,stop_signal,TOAD,neutral
train,go,,
train,go_signal,TRAIN,
train,stop_signal,TROLLEY,phon_sem
train,stop_signal,TROPHY,phon_only
train,stop_signal,BUS,sem_only
train,stop_signal,FOX,unrelated
train,stop_signal,GUN,valent
train,stop_signal,LOT,neutral
truck,go,,
truck,go_signal,TRUCK,
truck,stop_signal,TRACTOR,phon_sem
truck,stop_signal,TRAP,phon_only
truck,stop_signal,JEEP,sem_only
truck,stop_signal,CELERY,unrelated
truck,stop_signal,AIDS,valent
truck,stop_signal,BEEF,neutral
trumpet,go,,
trumpet,go_signal,TRUMPET,
trumpet,stop_signal,TROMBONE,phon_sem
trumpet,stop_signal,TRAFFIC,phon_only
trumpet,stop_signal,HORN,sem_only
trumpet,stop_signal,CORNER,unrelated
trumpet,stop_signal,DISEASE,valent
trumpet,stop_signal,SPEAKER,neutral
